This Twitter Feed is Recording for this Bounding Box (sw long, sw lat, ne long, ne lat)  -84.6,33.3,-83.9,33.9Starting at this date and time  Mon Nov 07 2016 20:05:15 GMT-0500 (Eastern Standard Time)
Screen Name, Tweet Content, Tweet Time, User Location, Coordinates, Tweet Place
"Barshjb","😳😳😳","Tue Nov 08 01:05:43 +0000 2016","null","null","Georgia, USA"
"The_JohnnyBeard","Lord please let pirate ride bus be running. I'm not trying to walk from campus all the way back to pirates place","Tue Nov 08 01:05:45 +0000 2016","[H.A.P]","null","North Carolina, USA"
"nikkidammit","the real "get you a man who can do both" 😹😹 https://t.co/sGJsBWZyJh","Tue Nov 08 01:05:44 +0000 2016","Ga, USA. nigga ","null","Georgia, USA"
"Chewning_","And Aliens built the pyramids","Tue Nov 08 01:05:45 +0000 2016","Locust Grove, GA","null","Georgia, USA"
"Vigil_latte","@Revelations45 @therahpyst @ketsays That "Rice Cooker story" though... https://t.co/NPSVDPN3yc","Tue Nov 08 01:05:45 +0000 2016","Atlanta, GA","null","Georgia, USA"
"harborchristmas","Oh Buck! 😎#pinball #flippersarcade @ Flippers Variety &amp; Arcade https://t.co/1UpsLmYZ4Q","Tue Nov 08 01:05:45 +0000 2016","OBX","[object Object]","North Carolina, USA"
"notchengxiao","https://t.co/1yxLzfLJ8w","Tue Nov 08 01:05:45 +0000 2016","wherever meiqi has lines","null","Georgia, USA"
"yesenia_rod95","Hahah not interested 😩","Tue Nov 08 01:05:46 +0000 2016","null","null","Georgia, USA"
"TUCKDABBIN","@GhanasFinest_ 😂😂 https://t.co/fAIMGjo2uH","Tue Nov 08 01:05:49 +0000 2016","Just left the versace store","null","Georgia, USA"
"giltykiss","OMG THAT WAS QUICK IMM SQUEALING","Tue Nov 08 01:05:50 +0000 2016","μ'sic forever♪♪♪♪♪♪♪♪♪","null","Georgia, USA"
"AjaniMaurice","I generally wont use words i cannot spell.","Tue Nov 08 01:05:51 +0000 2016","peace","null","Atlanta, GA"
"LeAlysonJoy","The steering wheel is gone. @CMadisonBarnes https://t.co/gXK5W9rX2S","Tue Nov 08 01:05:51 +0000 2016","East Carolina University '18","null","North Carolina, USA"
"dipndabb","folks tryna die https://t.co/axc6PyIzRW","Tue Nov 08 01:05:53 +0000 2016","null","null","Brookhaven, GA"
"makayla_parks98","@champagnevoni It's like from toy story😂","Tue Nov 08 01:05:53 +0000 2016","Atlanta, GA","null","Atlanta, GA"
"britg16","@imjustrg3_ https://t.co/HtQKUYZPq3","Tue Nov 08 01:05:54 +0000 2016","null","null","Georgia, USA"
"Rolled_Blunts","Suck_MySnaps https://t.co/Nm0u1uOQ1N","Tue Nov 08 01:05:57 +0000 2016","null","null","Georgia, USA"
"camille_ledford","i love you john mayer","Tue Nov 08 01:05:57 +0000 2016","Georgia, USA","null","Georgia, USA"
"DobleVMoreno_","La cena que hice hoy me quedo fue como pa' que se casen conmigo.","Tue Nov 08 01:05:57 +0000 2016","Atlanta, GA","null","Atlanta, GA"
"ImMe_Mek","Lmao see u just as bad as the men that was answering my question https://t.co/Ehes1YlLYI","Tue Nov 08 01:05:59 +0000 2016","Jaw-Juh ","null","Georgia, USA"
"AuroraTheatre","Winner #SuziAwards3016 Outstanding Scenic Design of a Play I'M NOT RAPPAPORT Isabel &amp; Moriah Curley-Clay.","Tue Nov 08 01:05:59 +0000 2016","Lawrenceville, Ga.","null","Panthersville, GA"
"Seyi_NOTShay","I try so hard but nothing seems to fall in line","Tue Nov 08 01:05:59 +0000 2016","Hard Knocks U ","null","Atlanta, GA"
"hxxri_","lol that's what I get for looking.","Tue Nov 08 01:06:00 +0000 2016","null","null","Riverdale, GA"
"teresawestwww","This is so flipping true!! I want her to stay now! #RHOC https://t.co/oRGxh6wNTu","Tue Nov 08 01:06:00 +0000 2016","null","null","North Carolina, USA"
"LindseeGarner","I'm kinda upset at how SC has a filter saying to vote for Hillary tomorrow but nothing for Trump... 🤔😒","Tue Nov 08 01:06:01 +0000 2016","Dreamville.","null","North Carolina, USA"
"Cane_ATL","He makes my blood boil and skin crawl #ImWithHer #HillaryForPresident","Tue Nov 08 01:06:03 +0000 2016","Atlanta, GA","null","Georgia, USA"
"Alwaysrika_","@TheChuntate I got the movie","Tue Nov 08 01:06:03 +0000 2016","LongLiveQuay","null","Atlanta, GA"
"justdawn_","#SNL 
Now you KNOW you've made it, @ErinBurnett 😉🇺🇸 https://t.co/NbyX8nmC4N","Tue Nov 08 01:06:03 +0000 2016","Georgia, USA","null","Georgia, USA"
"erik_web","He said someday I hope you get the chance to live like you were dyin 🎶","Tue Nov 08 01:06:04 +0000 2016","null","null","Georgia, USA"
"scottdmao45","@MrGeorgeWallace of course he is since Feds are sending in droves as well. They will be first to say rigged should it not go their way","Tue Nov 08 01:06:05 +0000 2016","Atlanta, GA","null","Georgia, USA"
"SinViiiBES","Everybody "knew" you and "love" you when you dead","Tue Nov 08 01:06:05 +0000 2016","Clayton County, USA","null","Lovejoy, GA"
"_krissayy_","not keeping your promises; liars; people that attempt to talk over me; smelly people https://t.co/r44PVT50k5","Tue Nov 08 01:06:06 +0000 2016","probably sleep","null","Georgia, USA"
"craftedworkshop","@SimoneGiertz @laura_kampf O. M. G. My brain is exploding.","Tue Nov 08 01:06:06 +0000 2016","Asheville, NC","null","North Carolina, USA"
"emilydavis0963","thought my mom just got home &amp; was opening the front door... my mom wasn't here... who was trying to open my front door...? 😶","Tue Nov 08 01:06:07 +0000 2016","Georgia, USA","null","Georgia, USA"
"10_Rayz","Gillette Fusion sent me a razor for my bday they know what boutta go down","Tue Nov 08 01:06:07 +0000 2016","null","null","Stone Mountain, GA"
"MrPresident_51","One side of me like naw! 😇🙅🏾‍♂️
Other side is like I can lowkey fade! 😈🤔 https://t.co/zvDhZFhcqD","Tue Nov 08 01:06:07 +0000 2016","Denmark, South Carolina ","null","Atlanta, GA"
"ThatNIGGA_Jazz","My mind is everywhere","Tue Nov 08 01:06:08 +0000 2016","null","null","Georgia, USA"
"iamkelleewilson","😂😂 https://t.co/4VMz722pdg","Tue Nov 08 01:06:09 +0000 2016","Atlanta, GA","null","Atlanta, GA"
"yesenia_rod95","I'm interested in someone that pays no attention to me 😩 lmao","Tue Nov 08 01:06:09 +0000 2016","null","null","Georgia, USA"
"traagotfanss","@_H23M_ @SmoothLikeSilk what ab pep toe bis mo?","Tue Nov 08 01:06:09 +0000 2016","Georgia, USA","null","Georgia, USA"
"Jurvontay","Anybody Trynna make some bets on the election 😂😂😂🙈 serious inquires only 💯💯","Tue Nov 08 01:06:10 +0000 2016","Atlanta, GA","null","Atlanta, GA"
"Retro_Legendary","@HorchataReina nahhhh... just nah, you gotta have faith in something or you'll love for nothing","Tue Nov 08 01:06:12 +0000 2016","ThotsVille USA","null","Marietta, GA"
"LovesJobs","Join the Love's Travel Stops &amp; Country St... team! See our latest #job opening here: https://t.co/lnaspslMzX… https://t.co/LI87JSt6UZ","Tue Nov 08 01:06:13 +0000 2016","Coast to Coast","[object Object]","Georgia, USA"
"CandidlyDestine","#breakmybackandsupportmydreams2k17","Tue Nov 08 01:06:14 +0000 2016","#ecu20","null","North Carolina, USA"
"Him_vs_Him",""Push Up On Me" is the most underrated in Fenty's discography.","Tue Nov 08 01:06:14 +0000 2016","ATL","null","Atlanta, GA"
"giltykiss","ALEX GET YOUR GIRL!!! DAMN","Tue Nov 08 01:06:14 +0000 2016","μ'sic forever♪♪♪♪♪♪♪♪♪","null","Georgia, USA"
"SpeedwayJobs","We're #hiring! Read about our latest #job opening here: customer service representative-retail sales - https://t.co/d3NfwGMCRK #hirelocal","Tue Nov 08 01:06:15 +0000 2016","Nationwide","[object Object]","North Carolina, USA"
"MeganBrooklyn2","I just told @nbcwashington who I think is winning. Cast your vote now! #Debates #NBC4DC https://t.co/yrWrFE3s1G","Tue Nov 08 01:06:16 +0000 2016","null","null","Georgia, USA"
"sillohhtennek","https://t.co/tqwdTjlsWb i deserve a chance #star #veteran #aandr #atlanta #hollywood #poetry… https://t.co/NjdrlbotM3","Tue Nov 08 01:06:17 +0000 2016","Georgia, USA","[object Object]","Atlanta, GA"
"BizerkJerk","Nikki's dress 😍","Tue Nov 08 01:06:17 +0000 2016","ATL","null","Georgia, USA"
"_krissayy_","I fw him https://t.co/UJwiyBb7LC","Tue Nov 08 01:06:18 +0000 2016","probably sleep","null","Georgia, USA"
"Caitlinnn1","@courtwebb11 oh I see the beluga whale.... it's me...","Tue Nov 08 01:06:20 +0000 2016","LaGrange, GA","null","Georgia, USA"
"MattcArmstrong","Teach them young.... #latergram @ New Heritage Church of God https://t.co/MH5Ngii59A","Tue Nov 08 01:06:20 +0000 2016","Fairburn, Ga","[object Object]","Georgia, USA"
"shaymari_","🌍😍 https://t.co/D9brg8MVgm","Tue Nov 08 01:06:21 +0000 2016","atlanna, jawja","null","Georgia, USA"
"princesabresha","Bri really got me crying rn I'm so dead","Tue Nov 08 01:06:22 +0000 2016","snapchat: g0ldie-xo","null","Georgia, USA"
"_shutuplela","I just don't understand... If there's a problem .... Let's solve it 😊 simple","Tue Nov 08 01:06:22 +0000 2016","dubbcity","null","Georgia, USA"
"JWoodBeats","Just started almost done put some beat suggestions in the comments of some stuff I should make… https://t.co/1h42hiabTT","Tue Nov 08 01:06:22 +0000 2016","Atlanta, GA","[object Object]","Georgia, USA"
"hornlacrosse","https://t.co/fEuNbKr84l","Tue Nov 08 01:06:23 +0000 2016","Suwanee, GA","null","Georgia, USA"
"english_maven","@jwalkup f bomb is a red herring. Comparing actions to appearance.","Tue Nov 08 01:06:24 +0000 2016","Covington, GA","null","Georgia, USA"
"aiden10greer","every girl ain't a keeper 💯👌🏽 #But every guy ain't a cheater 💯🤘🏽","Tue Nov 08 01:06:24 +0000 2016","Eastman, GA","null","Georgia, USA"
"apthegoddess94","Reality tv is like prison","Tue Nov 08 01:06:25 +0000 2016","Beverly Hills, CA","null","Atlanta, GA"
"LL_Big_B","😭😭😭😭😭😭 https://t.co/gf6NVQkJxW","Tue Nov 08 01:06:26 +0000 2016","Polk✈Atlanta✈Skegee","null","Union City, GA"
"HENNYDANIELS","200 rsvps so far for tomorrow's @KickerKnowledge election watch party at Time come out and catch it with me tomorrow #ATL #Election2016","Tue Nov 08 01:06:27 +0000 2016","ATL","null","Georgia, USA"
"katdollvz","@moneymani_ 
tmb tf.","Tue Nov 08 01:06:29 +0000 2016","College Park, GA","null","Georgia, USA"
"yebalnik","@alyssastew77 @56jakesmom She's a pathological liar, can't ever be trusted, and had sex with minors on Pedo Island; she's very Evil.","Tue Nov 08 01:06:30 +0000 2016","null","null","North Carolina, USA"
"ali_odum","@lindsaymcgeezus i was walking to hannah's car 😂😭","Tue Nov 08 01:06:30 +0000 2016","null","null","Loganville, GA"
"_krissayy_","PINK &amp; idk why it's just my fav https://t.co/mhvizUCtn9","Tue Nov 08 01:06:32 +0000 2016","probably sleep","null","Georgia, USA"
"Zack_Puckett","💀 https://t.co/XyTpErgcZm","Tue Nov 08 01:06:33 +0000 2016","✈","null","North Carolina, USA"
"reg_ulator","@JasonMcElweee @NateTheGreat_15 // you guys are too nice, i miss you all so much //","Tue Nov 08 01:06:33 +0000 2016","Fayetteville, GA","null","Georgia, USA"
"kburrz","tattoos are addictive 6 isn't enough","Tue Nov 08 01:06:37 +0000 2016","Atlanta, GA","null","Snellville, GA"
"ThingsSaidByJah","Omg my son so bad😂 https://t.co/2tT5a6iZVH","Tue Nov 08 01:06:39 +0000 2016","Hawaii, USA","null","North Carolina, USA"
