This Twitter Feed is Recording for this Bounding Box (sw long, sw lat, ne long, ne lat)  -84.6,33.3,-83.9,33.9Starting at this date and time  Mon Nov 07 2016 16:20:27 GMT-0500 (Eastern Standard Time)
Screen Name, Tweet Content, Tweet Time, User Location, Coordinates, Tweet Place
"ThomasStern16","@ThomasStern16                Kisses","Mon Nov 07 21:20:27 +0000 2016","North Carolina, USA","null","North Carolina, USA"
"durrrgs","walking around the jacksonville mall by myself just cause bored and this couple stopped to tell me i'm "insanely pretty"","Mon Nov 07 21:20:28 +0000 2016","Dover, NH","null","North Carolina, USA"
"annahtfordrick","🤑 https://t.co/Lmd4MGhIo8","Mon Nov 07 21:20:28 +0000 2016","nc (งツ)ว  ","null","North Carolina, USA"
"hoop_tilidie","@hoop_tilidie I still think I'm ugly tho","Mon Nov 07 21:20:29 +0000 2016","In Da Trenchez","null","Atlanta, GA"
"EstradaCrystal_","Can't express my feelings anywhere 😒","Mon Nov 07 21:20:30 +0000 2016","Guerrero, Mexico ❥","null","North Carolina, USA"
"fucktiva","This got used to be so pretty before the drugs made her more insane than she already was. She going out bad now.","Mon Nov 07 21:20:31 +0000 2016","Atlanta, GA","null","North Decatur, GA"
"DonnyThompsonBB","@Jamie_R_Doucet Thanks Jamie","Mon Nov 07 21:20:32 +0000 2016","null","null","North Carolina, USA"
"yung_Makaveliii","Nah https://t.co/eqIBbUiuwK","Mon Nov 07 21:20:32 +0000 2016","Atlanta, GA","null","Atlanta, GA"
"adxnxs","gotta make sure i at least make it to the tailgate and pregame for the gsu vs gsu game shit gon be litty","Mon Nov 07 21:20:33 +0000 2016","kennesaw","null","Georgia, USA"
"Alicia__Symone","@LatriceMeredith @jasfromthebucks I think you mean "sense"... 🤔","Mon Nov 07 21:20:34 +0000 2016","Counting my blessings ","null","Decatur, GA"
"casey_holloway","#ElectionFinalThoughts #1 #PRAYING 4 a landslide victory 4 @realDonaldTrump, but think it will be a CLOSE race… https://t.co/IHycyozfM8","Mon Nov 07 21:20:37 +0000 2016","Marble, North Carolina","null","North Carolina, USA"
"UmWeNotFriends","Lol what ? https://t.co/9P8mQd51Kr","Mon Nov 07 21:20:39 +0000 2016","Tallahassee, FL","null","Georgia, USA"
"_tonydennis","Must be nice to have women in whole relationships hit you up RT @GareNoBear If you got a boyfriend and you hit me up, you're my girlfriend","Mon Nov 07 21:20:41 +0000 2016","Atlanta, GA","null","Doraville, GA"
"Lovindennyb","New Surprise Project 🙊😈 
🚘💨💸⛽️✨ "Road Running" 💰🌞
Now Available On a Spinrilla 🔌ViLLELiFE The TRiLL LiFE 🎬😎

https://t.co/GTAWHEuxNy","Mon Nov 07 21:20:41 +0000 2016","RoadRunning ","null","North Carolina, USA"
"_kjbon","😂😂deadass https://t.co/tUqIOOnmT7","Mon Nov 07 21:20:41 +0000 2016","PHILLY✈️ATL","null","Atlanta, GA"
"DamourJr","SCREAMING 💀💀💀 https://t.co/0JWkz2PU1K","Mon Nov 07 21:20:41 +0000 2016","ATLANTA, GA ","null","Atlanta, GA"
"calvinmasterson","@GiantGooner It was a massive culture shock coming from the SE","Mon Nov 07 21:20:42 +0000 2016","Atlanta, Georgia","null","Atlanta, GA"
"JayD_Experience","😂😂 https://t.co/AaAmDjhA5u","Mon Nov 07 21:20:47 +0000 2016","Atlanta, GA ","null","Atlanta, GA"
"CandidlyDestine","!!!!! https://t.co/YHhXCVKhuj","Mon Nov 07 21:20:47 +0000 2016","IG: candidlydestine","null","North Carolina, USA"
"fucktiva","This girl used to be so pretty before the drugs made her more insane than she already was. She going out bad now.","Mon Nov 07 21:20:47 +0000 2016","Atlanta, GA","null","North Decatur, GA"
"GeorgiaCarry","The next North Atlanta #GCO Chapter Meeting is this Thurs evening 7pm, Nov 10th 2016, at Williamson Bros. BBQ in Marietta #GaGunRights","Mon Nov 07 21:20:48 +0000 2016","Georgia, USA","null","Georgia, USA"
"ndustrialstorag","Getting ready for our new project in Atlanta. #IndustrialStorage #SupplyChain #Uprights #Beams… https://t.co/rL5mx27S26","Mon Nov 07 21:20:49 +0000 2016","Phoenix, AZ","[object Object]","Atlanta, GA"
"millerbrooke14","@vstewart830 @PontiusLauren i am honored","Mon Nov 07 21:20:50 +0000 2016","null","null","Georgia, USA"
