This Twitter Feed is Recording for this Bounding Box (sw long, sw lat, ne long, ne lat)  -122.34, 28.62, -59.41, 46.567Starting at this date and time  Tue Nov 08 2016 07:40:50 GMT-0500 (Eastern Standard Time)
Screen Name, Tweet Content, Tweet Time, User Location, Coordinates, Tweet Place
"LeftJabs","@daveweigel don't die today Dave...not worth it.","Tue Nov 08 12:40:51 +0000 2016","Greenville, SC","null","Dunean, SC"
"rudygcarp12","Yo many people have been fooled by the left and the media. https://t.co/9Y4KQ1K4D6","Tue Nov 08 12:40:51 +0000 2016","Phoenix, AZ","null","Thousand Oaks, CA"
"iamsuchadiva","Up and at em! Time to cast my ballot!","Tue Nov 08 12:40:51 +0000 2016","Headed to the TOP","null","Philadelphia, PA"
"aleighdeesun","hi my name is anna and i typed this with my eyes closed","Tue Nov 08 12:40:51 +0000 2016","bumfuck egypt ","null","Mississippi, USA"
"_Unicorn_Hunter","@space_baby_ @MrLukeJohnston why did you post this #madatyou","Tue Nov 08 12:40:51 +0000 2016","Memphis ","null","Memphis, TN"
"Casedouglas11","On repeat all day! https://t.co/RVNRa4ZYyM","Tue Nov 08 12:40:51 +0000 2016","NSB","null","New Smyrna Beach, FL"
"jdupont19711","This little girl is 9yrs old today. Where do the yrs go?? HAPPY BIRTHDAY EMMA LYNN. Love dad https://t.co/NqK0YaLINv","Tue Nov 08 12:40:51 +0000 2016","Massachusetts, USA","null","North Seekonk, MA"
"HiddlestonedZ","@hiddlestigress @KGullic I like her!","Tue Nov 08 12:40:51 +0000 2016","null","null","Kentucky, USA"
"TaraJMac","@BigDavesRants @Tim55081 I'd vote for Tim","Tue Nov 08 12:40:51 +0000 2016","Long Island, NY","null","Hicksville, NY"
"JoAnn_Bill","Wear red while #votingTrump ! 🇺🇸🇺🇸🇺🇸","Tue Nov 08 12:40:51 +0000 2016","Forsyth, MO","null","Forsyth, MO"
"KennyCTucker","Praying much for our beloved nation today. Get out and vote! The choice is clear! 
II Chronicles 7:14
🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸 https://t.co/mmrRVhtegW","Tue Nov 08 12:40:51 +0000 2016","Mesquite, TX","null","Mesquite, TX"
"Patiepot27","LOL. Everyone focusing on the orange clown and forgetting about the real villain in this duo.. https://t.co/eqUid2WFxP","Tue Nov 08 12:40:51 +0000 2016","null","null","Manhattan, NY"
"JasonR83","Ready to make America Great Again 🇺🇸🇺🇸🇺🇸🇺🇸 (@ P.S. 3 Charrette Elementary School - @ps3nyc in New York, NY) https://t.co/Npr1PVnBjV","Tue Nov 08 12:40:52 +0000 2016","Manhattan, NY","[object Object]","Manhattan, NY"
"Ooh_JENN","@mx2x_ thank you!","Tue Nov 08 12:40:52 +0000 2016","null","null","Orland Park, IL"
"SaperiaRDN","🍂 fall-back dusk over the Francis Cabot Lowell Mill, Waltham. 
.
.
.
#franciscabotlowell… https://t.co/R1i25UNjoo","Tue Nov 08 12:40:52 +0000 2016","Waltham, MA","[object Object]","Waltham, MA"
"detritusduplet","waiting for "BAND-AIDS", to come out on DVD box set.","Tue Nov 08 12:40:52 +0000 2016","Baltimore, MD","null","Baltimore, MD"
"1fitjoker01","#jermichaelpratt #detroit #fitfam #figure #physique #1fitjokerfitness #1fitjokertanning… https://t.co/iL5NI0fROG","Tue Nov 08 12:40:48 +0000 2016","Michigan, USA","[object Object]","Baton Rouge, LA"
"Cimetts","In which the Palace confirms Prince Harry is dating Meghan Markle; says the press has treated her with "racism &amp; se… https://t.co/P5zc0HJs3f","Tue Nov 08 12:40:52 +0000 2016","Ottawa, Ontario","null","Ottawa, Ontario"
"garrettgreen",""I didn't run for president. If I ran for president, I would've won. I win. I've never not won anything." - Donald Trump in 2018, probably","Tue Nov 08 12:40:52 +0000 2016","New York City","null","New York, USA"
"kaley_miller_","You know God has a sense of humor when the chapter you are supposed to read for today is Isaiah 24: Judgment on the Whole Earth #ElectionDay","Tue Nov 08 12:40:52 +0000 2016","Knoxville, TN","null","Knoxville, TN"
"_vaannaa","10 times out of 9 I know you're lyin","Tue Nov 08 12:40:52 +0000 2016","odu20","null","Norfolk, VA"
"becschulte","I WAS REALLY LOOKING FORWARD TO THAT "I VOTED" STICKER, AND THEY DIDN'T HAND OUT ANY. But it's all good because I voted🇺🇸","Tue Nov 08 12:40:52 +0000 2016","null","null","Warren, MI"
"CharisReese","It's a great morning here in #princegeorgescounty, today I get the pleasure of being a… https://t.co/5BopIvYJjo","Tue Nov 08 12:40:52 +0000 2016","Washington, DC","[object Object]","Hillcrest Heights, MD"
"PokerThug7duece","@KeefTheGOD1 😐","Tue Nov 08 12:40:52 +0000 2016","In ur girl","null","Montgomery Village, MD"
"kboogie78","Just voted! Walking to work and I see this! #ifyoubelieveinsigns #hrc #HilaryClinton #TheFutureisFemale #vote… https://t.co/jtag5Rdlgs","Tue Nov 08 12:40:50 +0000 2016","New York, NY","null","Manhattan, NY"
"Happy__eeyore","Deadass me https://t.co/b4QM0JWrdp","Tue Nov 08 12:40:52 +0000 2016","Brentwood, NY","null","New York, USA"
"CatalanMartina","i feel like i'm going to throw up....not because it's election day","Tue Nov 08 12:40:52 +0000 2016","michaela is my meredith grey ","null","Evansville, IN"
"simply_love23","10/10 would put on repeat https://t.co/ThwY9V6D15","Tue Nov 08 12:40:52 +0000 2016","517","null","Michigan, USA"
"JikookReveza","hoje acordei com arrocha sofrencia na cabeça e pensando no utt park jimin","Tue Nov 08 12:40:52 +0000 2016","Los Angeles, CA","null","Los Angeles, CA"
"durmstremf","@gpowerpow damn! Cool mom! Was it Hillary?","Tue Nov 08 12:40:52 +0000 2016","10 Ungh Sea","null","Brentwood, TN"
"BeastFireTimdog","My number news source for everything is @twitter .  Yes when twitter was down the other day I realized this","Tue Nov 08 12:40:52 +0000 2016","Long Island NY","null","East Meadow, NY"
"TheWeirdDJ","@_BASSLORD he was doing for hip hop not his race","Tue Nov 08 12:40:52 +0000 2016","Somewhere in the air","null","Upper Darby, PA"
"GillianOnAir","Only vote if you are voting for who I want to win.","Tue Nov 08 12:40:52 +0000 2016","Detroit, MI","null","Bingham Farms, MI"
"HACCSki","Longest line I've seen in 5 yrs 4 #voting in Susquehanna Township @DauphinCounty @ 730am @PADems @PAGOP","Tue Nov 08 12:40:52 +0000 2016","South Central Pennsylvania","null","Progress, PA"
"WenzOmatic","@mountianmama64 Let's make this election's turnout the biggest ever!  Get out &amp; vote. #VoteTrumpPence16 to #MAGA","Tue Nov 08 12:40:52 +0000 2016","Oklahoma","null","Oklahoma, USA"
"sparklyash90","What could happen if you surrendered to God and allowed him to use you in any way he desired?","Tue Nov 08 12:40:52 +0000 2016","ILLINOIS","null","Edwardsville, IL"
"joordaanrae","praying for our country today❤️","Tue Nov 08 12:40:52 +0000 2016","fort sam houston, TX ","null","San Antonio, TX"
"AshleyWilder13","@nytimes @electionland KY has caused me enough trouble that I was not allowed to vote by absentee ballot.","Tue Nov 08 12:40:52 +0000 2016","Long Island ","null","Holbrook, NY"
"YouLoveBrittany","The problem with our society is that they don't wanna see you STRONG &amp; RESILIENT 🌻💪🏾 . What's wrong with ppl nowadays?","Tue Nov 08 12:40:52 +0000 2016","864 ","null","Valley Falls, SC"
"wallydov","احب صوتك هذاك الي دوا لجروح 
واضيع ان مرني طاريك
ماقول في بالي تجي وتروح
اقلك انت بالي وانا اطري بيك","Tue Nov 08 12:40:52 +0000 2016","mechanical engineering ","null","Boise, ID"
"LuigiCurto22","I just witnessed a #Hillary voter throw their coffee at a person wearing a #Trump button. Regardless of vote, try &amp; keep it classy society.","Tue Nov 08 12:40:52 +0000 2016","Philadelphia","null","Philadelphia, PA"
"theRealBeto","@Victor_Castro95 is this your quote?","Tue Nov 08 12:40:53 +0000 2016","null","null","Greenfield, WI"
"jules_veraldi","❤️❤️❤️ https://t.co/hsdhVdYr77","Tue Nov 08 12:40:53 +0000 2016","Terryville, NY","null","Selden, NY"
"queenjasie__","Start your day and makeup routine off right with our Glorious Primer ☀️ Start off strong so it lasts all day long.💄💋 https://t.co/ymus6Ut9hD","Tue Nov 08 12:40:52 +0000 2016","Bloomington/Normal,IL,USA","null","Illinois, USA"
"KENIAKRYSTAL","If I'm a cry baby off 8:9 hours of sleep can y'all imagine being off 3😊","Tue Nov 08 12:40:53 +0000 2016","null","null","Detroit, MI"
"j_sem2","만원 들고 망원시장 가서 야채 잔뜩 사야지","Tue Nov 08 12:40:53 +0000 2016","null","null","Bermuda"
"MrKaress","@_milagrobebe follow bacc","Tue Nov 08 12:40:53 +0000 2016","Greensboro NC","null","Greensboro, NC"
"Fire406u","Good Morning","Tue Nov 08 12:40:53 +0000 2016","New York, USA","null","Staten Island, NY"
"55LouLou","@CatherineRoeske @SteveScaffardi @OCFSD brand new #cityhall that isn't being used for #ElectionDay #voting should NOT be in our #schools","Tue Nov 08 12:40:53 +0000 2016","Milwaukee, WI","null","Franklin, WI"
"beaublackmon","Have U seen this Man that is come up. It shall B that D man who kills him. D King will enrich him. Give Him His daughter, &amp; set Him free.","Tue Nov 08 12:40:53 +0000 2016","Birmingham, AL","null","Birmingham, AL"
"_Diamondxo","For us , this shit is for us . Don't try to come for us.","Tue Nov 08 12:40:53 +0000 2016","Hoodaville","null","Springfield, NJ"
"CamryQueen11","@rachelroyalkc awe that really sucks!!","Tue Nov 08 12:40:53 +0000 2016","Kansas City, MO","null","Kansas City, MO"
"Sierra_Smith35","Today is actually gonna be a chill day. Thank ya Jesus","Tue Nov 08 12:40:53 +0000 2016","null","null","Pennsylvania, USA"
"MichelleRosee5","Couldn't be more in love with him 💕 https://t.co/VQP5xnwFTZ","Tue Nov 08 12:40:53 +0000 2016","null","null","Oxford, MA"
"toriaa_7","If you do anything today, please go #vote","Tue Nov 08 12:40:53 +0000 2016","New York, USA","null","Lyncourt, NY"
"OAllaico","@iambeckyg  hello baby","Tue Nov 08 12:40:53 +0000 2016","Nueva York, USA","null","Spring Valley, NY"
"cajunboy1969","I'll be your fan the grid today. Can't cloud my mind w election bullshit and brainwashing. I cast my vote. Peace!!","Tue Nov 08 12:40:53 +0000 2016","Chicago, IL","null","Chicago, IL"
"BillFetke","@andrewmckay1620 come join our watch party at Goat Lips tonight","Tue Nov 08 12:40:53 +0000 2016","Pensacola, FL","null","Ferry Pass, FL"
"WHBMCareers","We're #hiring! Click to apply: Assistant Store Manager - https://t.co/foI5C00ctS #Job #Retail #Milford, CT #Jobs","Tue Nov 08 12:40:53 +0000 2016","null","[object Object]","Milford, CT"
"MurphyCartoons","@FBruceWilliams @JoeDunman Today "Woke" means more.","Tue Nov 08 12:40:53 +0000 2016","null","null","Louisville, KY"
"jscottkey",".@daveweigel @JakeSherman That second “if” makes it a non-statement","Tue Nov 08 12:40:53 +0000 2016","ÜT: 33.22794,-84.243008","null","Griffin, GA"
"gvldxroses","My mom would make me vote for trump 😂","Tue Nov 08 12:40:53 +0000 2016","Washington, DC","null","Baltimore, MD"
"Bethanee9","oh shit #ElectionDay were FUCKED ☺","Tue Nov 08 12:40:54 +0000 2016","manvel","null","Texas, USA"
