This Twitter Feed is Recording for this Bounding Box (sw long, sw lat, ne long, ne lat)  -84.6,33.3,-83.9,33.9Starting at this date and time  Thu Nov 03 2016 21:09:07 GMT-0400 (Eastern Daylight Time)
Screen Name, Tweet Content, Tweet Time, User Location, Coordinates, Tweet Place
"afayefisher","We won!!!!! Great job fellas! Shout out to @cowart_garrett for an awesome game @WJHS_Football #iteachthewholejvteam https://t.co/yAchnNbczt","Fri Nov 04 01:09:33 +0000 2016","null","null","North Carolina, USA"
"TheRealJarmel","And the win? https://t.co/EjQ5pSCBQr","Fri Nov 04 01:09:34 +0000 2016","Elberton, GA","null","Georgia, USA"
"Brooklyn_grace7","Can it please stop being hot outside so I can wear my cute fall clothes? It's November, it's shouldn't be 85 degrees.","Fri Nov 04 01:09:35 +0000 2016","North Carolina, USA","null","North Carolina, USA"
"bayleymorgannnn","@666mbg exactly. It isn't funny these 2 people could potentially run our country and could potentially start a WW3 and that's what scares me","Fri Nov 04 01:09:35 +0000 2016","The boro","null","North Carolina, USA"
"JuBreeSy","Delete this https://t.co/ZHK4cCNc9j","Fri Nov 04 01:09:35 +0000 2016","Waiting For A Text Back","null","Georgia, USA"
"UnkleDell","Jesus Christ https://t.co/E4mcAnGxu4","Fri Nov 04 01:09:36 +0000 2016","Atlanta, GA","null","Stockbridge, GA"
"okaygwyn","My bio teacher: yea you can't get an 80 in this class
My grade is: a 73 
Me: https://t.co/DDWZGNgXr1","Fri Nov 04 01:09:37 +0000 2016","nc","null","North Carolina, USA"
"taybae141","people really piss me off","Fri Nov 04 01:09:37 +0000 2016","919","null","North Carolina, USA"
"ChloeDaleW","But guess I like playing with fire.","Fri Nov 04 01:09:38 +0000 2016","null","null","North Carolina, USA"
"StanleyYarboro3","Now people @KellyannePolls told one of her biggest lies ever right here, you should apologize for that @CNN… https://t.co/nHHliqpY0y","Fri Nov 04 01:09:38 +0000 2016","North Carolina, USA","null","North Carolina, USA"
"burnsbulldogs","Interception will seal the win for the Hilltoppers. RS wins it 42-34. JV finishes the season at 3-5-1. Thanks for all you did JV!","Fri Nov 04 01:09:39 +0000 2016","Lawndale, NC","null","North Carolina, USA"
"I_LMichelle","@_KiddieGirl Mhmmm 😏😏😏","Fri Nov 04 01:09:39 +0000 2016","Conyers, GA","null","Georgia, USA"
"toniwoniii","you buns https://t.co/BVNWv0Krc7","Fri Nov 04 01:09:40 +0000 2016","null","null","Georgia, USA"
"PaulDouglasHale","#Election2016 #Facebook #Zuckerberg Host Blocked Media Silent Good Sam Emory Grady Refused HCL Poison #BostonStrong… https://t.co/884WBUosTo","Fri Nov 04 01:09:40 +0000 2016","Flovilla Georgia US 30216-2105","null","Georgia, USA"
"allsportsfan24","@RichPerloff that's what I thought. I believe that Michigan can beat Ohio State, win the @bigten Championship Game and advance to Tampa Bay","Fri Nov 04 01:09:40 +0000 2016","Waynesville North Carolina","null","North Carolina, USA"
"_Surxshot_","@_Miridith @Diddlydeer_ sadly not voting will only go towards Hillary.. sadly most don't know that but it's the truth.. but I agree with you","Fri Nov 04 01:09:41 +0000 2016","Roleplaying with my deer baby♡","null","Georgia, USA"
"Infomedia24hrs","#REVISTAS 🇪🇸 #BAZAAR  Noviembre 2016 PDF   https://t.co/ifbtLs5E1H       #JuevesIntratable… https://t.co/rmWRRV1kZN","Fri Nov 04 01:09:41 +0000 2016","Buenos Aires - Argentina","null","Carolina del Norte, USA"
"TayyyySmith21","I love you @jharmon04 💗","Fri Nov 04 01:09:42 +0000 2016","null","null","Georgia, USA"
"_queen__jaa","As soon as I say I don't got friends everybody start coming out the blue acting fake offended ! But who really check on me... I'll wait🤔","Fri Nov 04 01:09:43 +0000 2016","Detroit, MI","null","Union City, GA"
"olivia_rose9","I have a love/hate relationship with the middle school theater kids for real","Fri Nov 04 01:09:44 +0000 2016","all the chickfila's. all of em","null","Georgia, USA"
"RockyTopFan8","End of the 1st Quarter. #FalconsHustle #DirtyBirdHustle","Fri Nov 04 01:09:44 +0000 2016","Stone Mountain, G.A., ATLANTA","[object Object]","Panola Rd @ Covington Hwy"
"veedoeHB","Love &amp; basketball","Fri Nov 04 01:09:45 +0000 2016","252.336","null","North Carolina, USA"
"notBWbyMSM","@megynkelly I have sincere Q.Do HRC voters not believe HRC SOLD USA assets for PERSONAL $ &amp; will again?(Hard to believe)Or they don't care?","Fri Nov 04 01:09:46 +0000 2016","United States","null","North Carolina, USA"
"kristentamara_","@The_JarredIvory I'm glad you got some sense","Fri Nov 04 01:09:48 +0000 2016","NY✈️ATL","null","Atlanta, GA"
