This Twitter Feed is Recording for this Bounding Box (sw long, sw lat, ne long, ne lat)  -84.6,33.3,-83.9,33.9Starting at this date and time  Fri Nov 04 2016 20:56:57 GMT-0400 (Eastern Daylight Time)
Screen Name, Tweet Content, Tweet Time, User Location, Coordinates, Tweet Place
"SamWalkerOBX","Perquimans 36, Columbia 14 - Final #nencsports","Sat Nov 05 00:57:47 +0000 2016","Outer Banks, NC","null","North Carolina, USA"
"yalaa__","im just focused on going to school rn honestly .","Sat Nov 05 00:57:47 +0000 2016","NJ✈️GA","null","McDonough, GA"
"Dolla3X","@kxng_Eri bruh wtf 😂","Sat Nov 05 00:57:47 +0000 2016","Atlanta, GA","null","Georgia, USA"
"JordanOrtiz34","@__Shaquille__ it's that beard","Sat Nov 05 00:57:48 +0000 2016","District 904,New World Order ","null","Georgia, USA"
"mikahbaylee4","@kara_kara17 @LittleCNF 😂 https://t.co/Ch2wYCxcH9","Sat Nov 05 00:57:49 +0000 2016","Gods hands","null","Georgia, USA"
"vanillac0caine","damn bitches ain't shit 😭 https://t.co/cZPZ5F5gOt","Sat Nov 05 00:57:49 +0000 2016","Atlanta, GA","null","Georgia, USA"
"nicolepbrooks","Thanks to Danny, Jonny and the entire staff at @TierrasAlto640 for taking such good care of me and my friends it was yummy","Sat Nov 05 00:57:49 +0000 2016","Atlanta Ga","null","Atlanta, GA"
"Koach_CartER","Man Knicks got to play defense","Sat Nov 05 00:57:50 +0000 2016","atl/marietta","null","Atlanta, GA"
"real404villain","Nah man, somebody dropped this pizza or sum @dominos ima need a coupon or refund TODAY https://t.co/9lS5EymHsK","Sat Nov 05 00:57:51 +0000 2016","Atlanta, GA","null","Georgia, USA"
"mcarltonn","After all I've seen and what I've done I know somewhere there is someone who'll look my way and say I want that one 😌","Sat Nov 05 00:57:53 +0000 2016","Bradford, Fl","null","Georgia, USA"
"NeishaX3_","This was to funny...but then again it wasn't 😩😂😂😂😂😩😭😭😭 https://t.co/oiOXhuoktd","Sat Nov 05 00:57:54 +0000 2016","null","null","Atlanta, GA"
"MichaelPrunka","FB: Brandon Sullivan's 32-yard touchdown run puts the Seahawks up 53-12 early in the first half.","Sat Nov 05 00:57:55 +0000 2016","Eastern North Carolina","null","North Carolina, USA"
"GermanGarcia75","My son just asked: how is that god is up in heaven and knows everyone?? It is weird to me..., I will explain when the time comes.","Sat Nov 05 00:57:56 +0000 2016","Atlanta, GA","null","Georgia, USA"
"james_justus","If you see this man, it is not me! This is someone impersonating me. I haven't been to a con since 1997! https://t.co/nmLuHi1rYG","Sat Nov 05 00:57:56 +0000 2016","In Trouble Is Not A Location! ","null","Georgia, USA"
"juhkiruhh_","get that bag &amp; take care of my ganstas💪🏽","Sat Nov 05 00:57:58 +0000 2016","912 ","null","Georgia, USA"
"wildkidlexus","👅👅👅 https://t.co/g0XWsj9QqN","Sat Nov 05 00:57:58 +0000 2016","Puerto Rico, USA","null","Stockbridge, GA"
"ChrisShort","@robynkanner The rescheduling the meeting thing is awesome","Sat Nov 05 00:57:58 +0000 2016","Wake Forest, NC","null","North Carolina, USA"
"KennethSchott","@TNGameTime HALF: SMYRNA 10, DOBYNS-BENNETT 7. https://t.co/dBg0xYyZUB","Sat Nov 05 00:58:01 +0000 2016","null","null","Georgia, USA"
"DjRoddNJ","Good D Rondo!!!!!","Sat Nov 05 00:58:02 +0000 2016","Black Hollywood","null","Georgia, USA"
"alexissfayee","I refuse to be anyone's back up plans. Fuck you.","Sat Nov 05 00:58:03 +0000 2016","Point Place, WI","null","North Carolina, USA"
"lindsey_pruitt","Wow","Sat Nov 05 00:58:04 +0000 2016","North Carolina, USA","null","North Carolina, USA"
"GENODABOSS","@julie_hunter Tuesday November 8th @101Distribution Presents #HipHop Mixtape release party of #Genodaboss Sign up t… https://t.co/zwBSnj3AAF","Sat Nov 05 00:58:04 +0000 2016","New Orleans, La. Ninth Ward","null","Georgia, USA"
"therealashani2","@bigdaddyken___ @reinej_ I love you more baby😍⛽️🤘🏽","Sat Nov 05 00:58:05 +0000 2016","nyc✈️atl","null","Atlanta, GA"
"New_504Orleans","Lmao u a fool nigga https://t.co/yXNd5hSFsQ","Sat Nov 05 00:58:05 +0000 2016","New Orleans ","null","Lilburn, GA"
"SafariMonroe_","Gucci made that song a million times better","Sat Nov 05 00:58:05 +0000 2016","Atlanta, GA","null","Belvedere Park, GA"
